,createdate,username,followers,text
124,2023-06-22 22:05:47+00:00,Barkeronthebox,305,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
125,2023-06-22 21:55:21+00:00,fearlessruss,4,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint 

#DontSearchTwirlMint"
126,2023-06-22 21:21:51+00:00,NicolaCurrie12,0,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
127,2023-06-22 21:13:32+00:00,Tulip2uk2000,260,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
128,2023-06-22 20:54:20+00:00,SarSJHS24,8,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
129,2023-06-22 20:44:35+00:00,Stevenrogerso11,1,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
130,2023-06-22 20:36:13+00:00,ManifestDesti,549,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
131,2023-06-22 20:33:50+00:00,Rarebit1,432,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
132,2023-06-22 20:21:17+00:00,DanFrith1984,174,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
133,2023-06-22 20:18:53+00:00,AcottAnna,4,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
134,2023-06-22 20:15:02+00:00,samamos5,14,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
135,2023-06-22 20:08:11+00:00,kevin159081,84,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
136,2023-06-22 19:54:15+00:00,kickassqueen,702,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
137,2023-06-22 19:41:20+00:00,Kinky0reo,78,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
138,2023-06-22 19:21:02+00:00,Daveand01306284,44,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
139,2023-06-22 18:56:25+00:00,johncha75198197,48,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
140,2023-06-22 18:52:30+00:00,CariadMimiBo,103,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
141,2023-06-22 18:51:49+00:00,Georgefriendin1,202,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
142,2023-06-22 18:49:23+00:00,Frawli1978,935,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
143,2023-06-22 18:44:35+00:00,backw_d,56,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
144,2023-06-22 18:24:39+00:00,5secsofemilyjSK,761,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
145,2023-06-22 18:16:49+00:00,ADowns123,9,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
